,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,cds-WP_002898162.1,cds-WP_012068464.1,cds-WP_004174069.1,cds-WP_004174069.1-2,cds-WP_004179067.1,cds-WP_004174069.1,cds-WP_002919515.1,cds-WP_013815099.1-30,cds-WP_013815099.1-69,cds-WP_004174069.1,cds-WP_013815099.1-26,cds-WP_032429520.1,cds-WP_013815099.1-29,cds-WP_002888735.1,cds-WP_004174069.1-2,cds-WP_004145074.1,cds-WP_179139609.1,cds-WP_002888735.1,cds-WP_004174069.1-2,cds-WP_013815099.1-79,cds-WP_002919219.1,cds-WP_002888735.1
1,cds-WP_012068464.1,cds-WP_002920103.1,cds-WP_004174069.1-2,cds-WP_004174069.1,cds-WP_004901914.1,cds-WP_004150943.1,cds-WP_032429833.1,cds-AF52_RS0123810,cds-WP_013815099.1,cds-WP_050484295.1,cds-WP_032430171.1,cds-WP_171290763.1,cds-WP_050484282.1,cds-WP_012068464.1,cds-WP_004174069.1,cds-WP_001181005.1,cds-WP_013815099.1-54,cds-WP_032424651.1,cds-WP_004174069.1,cds-WP_187079192.1,cds-WP_032430210.1,cds-WP_004174069.1-2
2,cds-WP_002919796.1,cds-WP_004174069.1-2,cds-WP_002884146.1,cds-WP_032429669.1,cds-WP_002888735.1,cds-WP_002920554.1,cds-WP_032424651.1,cds-AF52_RS27350,cds-WP_187079192.1,cds-WP_002914769.1,cds-WP_050484282.1,cds-WP_179139609.1,cds-WP_013815099.1,cds-WP_004183439.1,cds-WP_002895166.1,cds-WP_004151523.1,cds-AF52_RS26890,cds-WP_004144996.1,cds-WP_002888735.1,cds-WP_032430171.1,cds-WP_032429636.1,cds-WP_004212509.1
3,cds-WP_004150800.1,cds-WP_032429669.1,cds-WP_002888735.1,cds-WP_032424651.1,cds-WP_002920103.1,cds-WP_004174069.1-2,cds-WP_002919766.1,cds-WP_032175380.1,cds-WP_050484282.1,cds-WP_032430362.1,cds-WP_032430142.1,cds-AF52_RS26610,cds-WP_032430073.1,cds-WP_002920103.1,cds-WP_002884743.1,cds-WP_004146997.1,cds-WP_171290763.1,cds-WP_002884146.1,cds-WP_032429675.1,cds-WP_050484282.1,cds-WP_032429785.1,cds-WP_020802783.1
4,cds-WP_000617546.1,cds-WP_004174069.1,cds-WP_004901914.1,cds-WP_032428654.1,cds-WP_002884747.1,cds-WP_002882755.1,cds-WP_002919516.1,cds-AF52_RS0124215,cds-AF52_RS0123290,cds-WP_004146620.1,cds-WP_187079192.1,cds-AF52_RS27080,cds-WP_187079192.1,cds-WP_002919794.1,cds-WP_002885424.1,cds-WP_002885441.1,cds-AF52_RS27385,cds-WP_002919515.1,cds-AF52_RS19800,cds-WP_013815099.1,cds-WP_002898303.1,cds-WP_004151856.1
5,cds-WP_002919667.1,cds-WP_020802781.1,cds-WP_001207203.1,cds-WP_002920103.1,cds-WP_004174069.1,cds-WP_002918250.1,cds-WP_001138115.1,cds-AF52_RS0123360,cds-WP_032430142.1,cds-WP_002913016.1,cds-WP_013815099.1,cds-WP_170999280.1,cds-AF52_RS0123290,cds-WP_004144748.1,cds-WP_002913195.1,cds-WP_000829818.1,cds-WP_170999280.1,cds-WP_004174069.1,cds-WP_004901914.1,cds-WP_032430142.1,cds-WP_004151118.1,cds-WP_004191727.1
6,cds-WP_002920103.1,cds-WP_002884747.1,cds-WP_004900541.1,cds-WP_002915213.1,cds-WP_004151070.1,cds-WP_002919219.1,cds-WP_002919754.1,cds-WP_032175380.1-2,cds-WP_032430073.1,cds-WP_002885441.1,cds-AF52_RS0123290,cds-AF52_RS27605,cds-AF52_RS0123810,cds-WP_002919773.1,cds-WP_032429669.1,cds-WP_002910103.1,cds-WP_004164645.1,cds-WP_002898408.1,cds-WP_002884740.1,cds-AF52_RS0123290,cds-WP_002915934.1,cds-WP_032428470.1
7,cds-WP_002899276.1,cds-WP_002918559.1,cds-WP_004183439.1,cds-WP_004179067.1,cds-WP_004183439.1,cds-WP_002919748.1,cds-WP_002884726.1,cds-WP_050484282.1,cds-AF52_RS0123810,cds-WP_004151070.1,cds-WP_032430073.1,cds-AF52_RS27170,cds-WP_032175380.1,cds-WP_004174069.1,cds-WP_012068464.1,cds-WP_002918559.1,cds-AF52_RS27585,cds-WP_004901914.1,cds-WP_004900541.1,cds-WP_032430073.1,cds-WP_004185139.1,cds-WP_015959249.1
8,cds-WP_002891641.1,cds-WP_004144748.1,cds-WP_002901243.1,cds-WP_002888735.1,cds-WP_002898162.1,cds-WP_002919665.1,cds-WP_002919796.1,cds-WP_032430073.1,cds-WP_032430171.1,cds-WP_004174799.1,cds-WP_032429885.1,cds-WP_170965341.1,cds-AF52_RS0123360,cds-WP_004901914.1,cds-WP_002915259.1,cds-WP_001207203.1,cds-AF52_RS27330,cds-WP_002888056.1,cds-WP_016947259.1,cds-WP_032430113.1,cds-WP_004149864.1,cds-WP_004150456.1
9,cds-WP_032429833.1,cds-WP_004177236.1,cds-WP_002918559.1,cds-WP_002919766.1,cds-WP_021441082.1,cds-WP_002908859.1,cds-WP_002919786.1,cds-WP_013815099.1,cds-AF52_RS0124215,cds-WP_002920103.1,cds-WP_032430113.1,cds-AF52_RS26890,cds-WP_032175380.1-2,cds-WP_002901243.1,cds-WP_002910405.1,cds-WP_001096200.1,cds-AF52_RS26610,cds-WP_002920113.1,cds-WP_023285394.1,cds-WP_032429885.1,cds-WP_004140277.1,cds-WP_012068464.1
10,cds-WP_032428655.1,cds-WP_002888735.1,cds-WP_002919219.1,cds-WP_004900541.1,cds-WP_002894954.1,cds-WP_032429569.1,cds-WP_000729185.1,cds-AF52_RS0124095,cds-WP_032175380.1,cds-WP_004107293.1,cds-WP_170999280.1,cds-WP_187079182.1,cds-AF52_RS0124095,cds-WP_002899276.1,cds-WP_032430277.1,cds-WP_002922941.1,cds-WP_187079182.1,cds-WP_002891629.1,cds-WP_032424651.1,cds-WP_032429520.1,cds-WP_004899416.1,cds-WP_004145860.1
11,cds-WP_002913196.1,cds-WP_032430213.1,cds-WP_004179067.1,cds-WP_002898408.1,cds-WP_012068464.1,cds-WP_002918241.1,cds-WP_002891641.1,cds-AF52_RS0123460,cds-AF52_RS27350,cds-WP_002919786.1,cds-WP_004164645.1,cds-AF52_RS27035,cds-AF52_RS0124215,cds-WP_020802781.1,cds-WP_002887979.1,cds-WP_002914147.1,cds-AF52_RS27035,cds-WP_002916479.1,cds-WP_002884344.1,cds-WP_170999280.1,cds-WP_002913152.1,cds-WP_004885708.1
12,cds-WP_002895039.1,cds-WP_004173905.1,cds-WP_004144748.1,cds-WP_002898162.1,cds-WP_032429833.1,cds-WP_002919545.1,cds-WP_002888731.1,cds-AF52_RS01000,cds-WP_032175380.1-2,cds-WP_032414744.1,cds-WP_032429520.1,cds-AF52_RS26590,cds-AF52_RS27350,cds-WP_002884142.1,cds-WP_004144995.1,cds-WP_000729185.1,cds-AF52_RS26590,cds-WP_002891635.1,cds-WP_000124850.1,cds-WP_004164645.1,cds-WP_002910443.1,cds-WP_021441395.1
13,cds-WP_002913162.1,cds-WP_002919766.1,cds-WP_002898408.1,cds-WP_032430148.1,cds-WP_032424651.1,cds-WP_002889299.1,cds-WP_032429672.1,cds-AF52_RS0124695,cds-AF52_RS0124095,cds-AF52_RS26555,cds-AF52_RS0123810,cds-WP_013815099.1-6,cds-AF52_RS22870,cds-WP_032429669.1,cds-WP_021313170.1,cds-WP_002884036.1,cds-AF52_RS27170,cds-WP_023285394.1,cds-WP_002911427.1,cds-WP_179139609.1,cds-WP_004152420.1,cds-WP_002922413.1
14,cds-WP_002891635.1,cds-WP_002913150.1,cds-WP_004151070.1,cds-WP_004893550.1,cds-WP_004144748.1,cds-WP_004144972.1,cds-WP_002884747.1,cds-AF52_RS0123290,cds-AF52_RS0123360,cds-WP_004174438.1,cds-WP_179139609.1,cds-AF52_RS26200,cds-AF52_RS0123460,cds-WP_002890412.1,cds-WP_002917907.1,cds-WP_002920554.1,cds-WP_032430171.1,cds-WP_001207203.1,cds-WP_000829818.1,cds-AF52_RS0123810,cds-WP_032429648.1,cds-WP_002914027.1
15,cds-WP_002898408.1,cds-WP_002919515.1,cds-WP_032429669.1,cds-WP_002884747.1,cds-WP_002888731.1,cds-WP_002918364.1,cds-WP_020802781.1,cds-WP_187079192.1,cds-AF52_RS0123460,cds-WP_004144994.1,cds-WP_002908416.1,cds-AF52_RS27235,cds-AF52_RS0124695,cds-WP_004140076.1,cds-WP_004901172.1,cds-WP_002898992.1,cds-WP_032429520.1,cds-WP_004150056.1,cds-WP_002913150.1,cds-WP_187079188.1,cds-WP_002883016.1,cds-WP_002919206.1
16,cds-WP_021441401.1,cds-WP_002884142.1,cds-WP_002913196.1,cds-WP_004144996.1,cds-WP_002919786.1,cds-WP_002901783.1,cds-WP_002888735.1,cds-AF52_RS27300,cds-AF52_RS27300,cds-WP_004151552.1,cds-WP_002921919.1,cds-WP_032429885.1,cds-AF52_RS27300,cds-WP_021441082.1,cds-WP_004151550.1,cds-WP_004152420.1,cds-WP_032430113.1,cds-WP_002920103.1,cds-WP_032428394.1,cds-WP_073545955.1,cds-WP_002882755.1,cds-WP_002901243.1
17,cds-WP_002888735.1,cds-WP_002901243.1,cds-WP_000290724.1,cds-WP_004142216.1,cds-WP_023285394.1,cds-WP_002884036.1,cds-WP_002912878.1,cds-AF52_RS16545,cds-AF52_RS20245,cds-WP_004144995.1,cds-WP_004234160.1,cds-AF52_RS27655,cds-AF52_RS20245,cds-WP_002886827.1,cds-WP_004148994.1,cds-WP_002919773.1,cds-AF52_RS26200,cds-WP_002884725.1,cds-WP_032103829.1,cds-WP_170965341.1,cds-WP_002891629.1,cds-WP_032428654.1
18,cds-WP_050484295.1,cds-WP_004142209.1,cds-WP_002886827.1,cds-WP_002884740.1,cds-WP_021440531.1,cds-WP_002919224.1,cds-WP_004214006.1,cds-AF52_RS22870,cds-AF52_RS0124695,cds-WP_002919766.1,cds-WP_004143954.1,cds-AF52_RS27585,cds-AF52_RS16545,cds-WP_004145860.1,cds-WP_021440816.1,cds-WP_002889299.1,cds-AF52_RS27080,cds-WP_004176682.1,cds-WP_021441596.1,cds-WP_171290763.1,cds-WP_002903693.1,cds-WP_032430155.1
19,cds-WP_002919754.1,cds-WP_004901914.1,cds-WP_020802781.1,cds-WP_002919759.1,cds-WP_004174069.1-2,cds-WP_002886682.1,cds-WP_002894949.1,cds-AF52_RS20245,cds-WP_004141101.1,cds-WP_004140835.1,cds-WP_004140406.1,cds-WP_032430113.1,cds-AF52_RS01000,cds-WP_032429671.1,cds-WP_020804789.1,cds-WP_002884034.1,cds-AF52_RS27415,cds-WP_004151552.1,cds-WP_002903681.1,cds-WP_002883015.1,cds-WP_002886897.1,cds-WP_004144995.1
20,cds-WP_002919219.1,cds-WP_004893550.1,cds-WP_000135199.1,cds-WP_002888056.1,cds-WP_021441401.1,cds-WP_002919516.1,cds-WP_002885691.1,cds-AF52_RS11970,cds-AF52_RS01000,cds-WP_004174272.1,cds-WP_004146224.1,cds-AF52_RS27415,cds-AF52_RS11970,cds-WP_032430213.1,cds-WP_032430302.1,cds-WP_002919748.1,cds-AF52_RS27605,cds-WP_004146224.1,cds-WP_002891634.1,cds-WP_004174272.1,cds-WP_002918423.1,cds-WP_004179068.1
21,cds-WP_002919773.1,cds-WP_002898408.1,cds-WP_002884747.1,cds-WP_002919545.1,cds-WP_002919794.1,cds-WP_004150944.1,cds-WP_002919759.1,cds-AF52_RS08005,cds-WP_002888562.1,cds-WP_004152420.1,cds-WP_002922636.1,cds-WP_032430171.1,cds-AF52_RS08005,cds-WP_032430155.1,cds-WP_032429691.1,cds-WP_002883400.1,cds-WP_170965341.1,cds-WP_002884740.1,cds-WP_002919665.1,cds-WP_002886947.1,cds-WP_004146034.1,cds-WP_032424651.1
22,cds-WP_004900541.1,cds-WP_004183439.1,cds-WP_021441082.1,cds-WP_032429833.1,cds-WP_002884726.1,cds-WP_002919257.1,cds-WP_002919224.1,cds-AF52_RS26545,cds-WP_002918417.1,cds-WP_002914027.1,cds-WP_004184289.1,cds-WP_004164645.1,cds-AF52_RS26730,cds-WP_000522253.1,cds-WP_004179067.1,cds-WP_002919667.1,cds-WP_032429885.1,cds-WP_004900926.1,cds-WP_009308402.1,cds-WP_021440872.1,cds-WP_004192475.1,cds-WP_002916613.1
23,cds-WP_032429482.1,cds-WP_000290724.1,cds-WP_004144995.1,cds-WP_002920113.1,cds-WP_004144995.1,cds-WP_002920113.1,cds-WP_004150977.1,cds-AF52_RS09845,cds-AF52_RS22870,cds-WP_004181324.1,cds-WP_021440195.1,cds-AF52_RS27385,cds-AF52_RS27390,cds-AF52_RS19800,cds-WP_004143800.1,cds-AF52_RS0124460,cds-AF52_RS27040,cds-WP_004145598.1,cds-WP_002890390.1,cds-WP_004178018.1,cds-WP_004150943.1,cds-WP_004148352.1
24,cds-WP_002919759.1,cds-WP_002884146.1,cds-WP_002884740.1,cds-WP_004151574.1,cds-WP_002889299.1,cds-WP_000829818.1,cds-WP_004885708.1,cds-AF52_RS14400,cds-AF52_RS16545,cds-WP_032429528.1,cds-WP_004173994.1,cds-AF52_RS27330,cds-AF52_RS26545,cds-WP_004177236.1,cds-WP_002916480.1,cds-WP_002918252.1,cds-AF52_RS27235,cds-WP_020802054.1,cds-WP_002884342.1,cds-WP_002898418.1,cds-WP_000124850.1,cds-AF52_RS0124105
25,cds-WP_004144748.1,cds-WP_002913162.1,cds-WP_002919786.1,cds-WP_001124225.1,cds-WP_002919515.1,cds-WP_002918252.1,cds-WP_002916740.1,cds-AF52_RS22890,cds-WP_002911388.1,cds-WP_002884034.1,cds-WP_004147529.1,cds-AF52_RS27260,cds-AF52_RS14415,cds-WP_000290724.1,cds-WP_004213494.1,cds-WP_002882917.1,cds-WP_032430142.1,cds-WP_002922415.1,cds-WP_002912442.1,cds-AF52_RS26555,cds-WP_004146997.1,cds-WP_002884146.1
26,cds-WP_002884146.1,cds-WP_004150295.1,cds-WP_002898139.1,cds-WP_002922413.1,cds-WP_002916277.1,cds-WP_002888628.1,cds-WP_002919219.1,cds-AF52_RS27390,cds-AF52_RS09845,cds-WP_002914160.1,cds-WP_002901816.1,cds-WP_032430142.1,cds-AF52_RS14400,cds-WP_002894954.1,cds-WP_002922415.1,cds-AF52_RS0124535,cds-AF52_RS27655,cds-WP_002887843.1,cds-WP_002895047.1,cds-WP_002917916.1,cds-WP_016529833.1,cds-WP_002890400.1
27,cds-WP_004144995.1,cds-WP_002913156.1,cds-WP_004177236.1,cds-WP_002919516.1,cds-WP_002885424.1,cds-WP_002914082.1,cds-WP_002898162.1,cds-AF52_RS26730,cds-WP_002907654.1,cds-WP_004142166.1,cds-WP_002890343.1,cds-WP_187079192.1,cds-AF52_RS09845,cds-WP_032430089.1,cds-WP_004150921.1,cds-WP_050484291.1,cds-WP_187079192.1,cds-WP_020802294.1,cds-WP_002896380.1,cds-WP_032414744.1,cds-WP_002919667.1,cds-WP_032428655.1
28,cds-WP_002895043.1,cds-WP_004144997.1,cds-WP_002888731.1,cds-WP_002884146.1,cds-AF52_RS19800,cds-WP_002895845.1,cds-WP_002919662.1,cds-AF52_RS11330,cds-WP_002922436.1,cds-WP_002887897.1,cds-WP_004145264.1,cds-AF52_RS27040,cds-WP_032430171.1,cds-WP_032429678.1,cds-WP_002918736.1,cds-WP_002914145.1,cds-WP_013815099.1,cds-WP_004151854.1,cds-WP_021440059.1,cds-WP_032422490.1,cds-WP_002919665.1,cds-WP_004151922.1
29,cds-WP_032424651.1,cds-WP_015958605.1,cds-WP_002894753.1,cds-WP_032429672.1,cds-WP_001124225.1,cds-WP_004185922.1,cds-WP_002914147.1,cds-AF52_RS14415,cds-AF52_RS11970,cds-WP_002886947.1,cds-WP_182920187.1,cds-AF52_RS26980,cds-AF52_RS27410,cds-WP_002918250.1,cds-WP_032417624.1,cds-WP_032430034.1,cds-AF52_RS27260,cds-WP_021440531.1,cds-WP_004179067.1,cds-WP_002912935.1,cds-WP_002921035.1,cds-WP_002898590.1
